"filename", "language", "TypeScript", "JSON with Comments", "Less", "SCSS", "JSON", "vue", "HTML", "Markdown", "Python", "XML", "SQL", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Preference.vue", "vue", 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 7, 229
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Process.vue", "vue", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 7, 95
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\PublishPost.vue", "vue", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 8, 146
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Rent\Rent.vue", "vue", 0, 0, 0, 0, 0, 367, 0, 0, 0, 0, 0, 0, 15, 382
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Search.vue", "vue", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 15, 201
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\SimilarRoom.vue", "vue", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Switch.vue", "vue", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 3, 70
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Tenantpages\Home.vue", "vue", 0, 0, 0, 0, 0, 358, 0, 0, 0, 0, 0, 0, 41, 399
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\Tenantpages\UserInfo.vue", "vue", 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 0, 0, 16, 245
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\booking\HouseBooking.vue", "vue", 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 9, 333
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\booking\ServiceBooking.vue", "vue", 0, 0, 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 15, 316
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\houseOrder\Order.vue", "vue", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 3, 108
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\houseOrder\OrderDetail.vue", "vue", 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 33, 318
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\index\index.vue", "vue", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\login.vue", "vue", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 4, 71
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\map\community.vue", "vue", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 2, 84
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\ownerpages\Home.vue", "vue", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 8, 119
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\ownerpages\orderDetail.vue", "vue", 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 0, 1, 8, 265
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\ownerpages\orderPage.vue", "vue", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 2, 76
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\ownerpages\orderPageItem.vue", "vue", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 7, 121
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\ownerpages\userInfo.vue", "vue", 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 14, 220
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\serviceDetail\serviceComment.vue", "vue", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 5, 144
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\serviceDetail\serviceDetail.vue", "vue", 0, 0, 0, 0, 0, 402, 0, 0, 0, 0, 0, 0, 22, 424
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\serviceOrder\Order.vue", "vue", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 94
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\serviceOrder\OrderDetail.vue", "vue", 0, 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 0, 30, 295
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\tabbar\Appointment.vue", "vue", 0, 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 15, 222
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\tabbar\Community.vue", "vue", 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 0, 4, 23, 405
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\tabbar\HomeContainer.vue", "vue", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 8, 90
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\tabbar\Service.vue", "vue", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 11, 14, 249
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\tabbar\UserInfoContainer.vue", "vue", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\vscode\test\Apartment-Recommend-System\frontend\src\pages\user\UserInfo.vue", "vue", 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 17, 206
"d:\vscode\test\Apartment-Recommend-System\frontend\src\service\ClientService.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 72
"d:\vscode\test\Apartment-Recommend-System\frontend\src\service\LeaseService.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\vscode\test\Apartment-Recommend-System\frontend\src\service\PostService.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 82
"d:\vscode\test\Apartment-Recommend-System\frontend\src\service\RentInfoService.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"d:\vscode\test\Apartment-Recommend-System\frontend\src\service\RoomBookingService.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\vscode\test\Apartment-Recommend-System\frontend\src\service\RoomService.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 125
